"Date","Price","Open","High","Low","Vol.","Change %"
"08/18/2022","19.464","19.740","19.885","19.410","46.16K","-1.35%"
"08/17/2022","19.731","20.105","20.240","19.630","49.57K","-1.76%"
"08/16/2022","20.085","20.230","20.250","19.860","41.92K","-0.92%"
"08/15/2022","20.272","20.805","20.870","20.020","55.09K","-2.06%"
"08/12/2022","20.698","20.260","20.850","20.190","46.59K","1.72%"
"08/11/2022","20.349","20.575","20.605","20.190","56.53K","-1.89%"
"08/10/2022","20.742","20.500","20.830","20.315","65.02K","1.27%"
"08/09/2022","20.482","20.695","20.740","20.400","53.85K","-0.64%"
"08/08/2022","20.614","19.840","20.745","19.745","68.07K","3.89%"
"08/05/2022","19.842","20.160","20.280","19.470","62.13K","-1.39%"
"08/04/2022","20.122","20.045","20.380","19.930","49.82K","1.15%"
"08/03/2022","19.894","19.955","20.140","19.750","47.27K","-1.22%"
"08/02/2022","20.139","20.340","20.495","19.915","64.54K","-1.10%"
"08/01/2022","20.362","20.335","20.510","20.065","58.52K","0.82%"
"07/29/2022","20.197","19.990","20.350","19.825","64.59K","1.66%"
"07/28/2022","19.868","19.050","20.000","19.010","86.52K","6.82%"
"07/27/2022","18.600","18.535","19.095","18.360","62.26K","0.35%"
"07/26/2022","18.535","18.330","18.620","18.285","40.82K","1.13%"
"07/25/2022","18.328","18.540","18.675","18.195","43.12K","-1.55%"
"07/22/2022","18.617","18.785","18.880","18.420","47.28K","-0.54%"
"07/21/2022","18.719","18.610","18.805","18.120","58.42K","0.27%"
"07/20/2022","18.668","18.695","19.030","18.565","42.47K","-0.24%"
"07/19/2022","18.713","18.655","18.845","18.510","36.80K","-0.67%"
"07/18/2022","18.840","18.675","18.950","18.585","42.25K","1.32%"
"07/15/2022","18.594","18.335","18.695","18.095","53.07K","2.02%"
"07/14/2022","18.225","19.180","19.180","18.010","82.27K","-5.05%"
"07/13/2022","19.194","18.870","19.360","18.790","63.75K","1.24%"
"07/12/2022","18.958","19.055","19.135","18.630","53.27K","-0.91%"
"07/11/2022","19.132","19.265","19.310","19.015","38.60K","-0.54%"
"07/08/2022","19.236","19.170","19.390","18.935","43.11K","0.25%"
"07/07/2022","19.188","19.170","19.435","19.035","42.48K","0.15%"
"07/06/2022","19.159","19.155","19.325","18.705","66.25K","0.20%"
"07/04/2022","19.121","19.880","20.100","18.970","85.00K","-2.78%"
"07/01/2022","19.667","20.290","20.290","19.295","75.67K","-3.37%"
"06/30/2022","20.352","20.725","20.785","20.145","61.10K","-1.86%"
"06/29/2022","20.738","20.840","21.065","20.610","53.00K","-0.33%"
"06/28/2022","20.806","21.170","21.355","20.720","42.01K","-1.71%"
"06/27/2022","21.168","21.200","21.535","21.080","48.09K","0.20%"
"06/24/2022","21.125","20.920","21.205","20.545","72.54K","0.39%"
"06/23/2022","21.042","21.420","21.495","20.890","71.94K","-1.77%"
"06/22/2022","21.421","21.670","21.675","21.205","55.92K","-1.59%"
"06/20/2022","21.768","21.520","21.950","21.430","64.99K","0.84%"
"06/17/2022","21.587","21.955","21.965","21.560","43.90K","-1.36%"
"06/16/2022","21.885","21.680","21.970","21.320","52.32K","2.17%"
"06/15/2022","21.420","21.010","21.845","20.970","70.54K","2.22%"
"06/14/2022","20.954","21.070","21.360","20.845","59.21K","-1.42%"
"06/13/2022","21.255","22.010","22.040","20.910","88.96K","-3.08%"
"06/10/2022","21.931","21.715","22.020","21.235","78.78K","0.52%"
"06/09/2022","21.817","22.085","22.165","21.535","63.62K","-1.25%"
"06/08/2022","22.094","22.275","22.275","21.795","44.94K","-0.38%"
"06/07/2022","22.178","22.085","22.300","21.840","51.45K","0.39%"
"06/06/2022","22.092","21.945","22.565","21.900","48.16K","0.84%"
"06/03/2022","21.908","22.355","22.525","21.860","37.47K","-1.65%"
"06/02/2022","22.275","21.860","22.380","21.785","35.94K","1.64%"
"06/01/2022","21.915","21.535","21.995","21.410","51.15K","1.05%"
"05/30/2022","21.688","22.150","22.310","21.455","67.95K","-1.85%"
"05/27/2022","22.096","22.035","22.475","21.940","38.41K","0.60%"
"05/26/2022","21.965","21.975","22.075","21.730","29.70K","0.43%"
"05/25/2022","21.870","22.115","22.145","21.725","32.08K","-0.87%"
"05/24/2022","22.063","21.770","22.215","21.645","36.83K","1.57%"
"05/23/2022","21.723","21.780","22.205","21.660","41.17K","0.23%"
"05/20/2022","21.674","21.965","22.080","21.580","34.79K","-1.07%"
"05/19/2022","21.908","21.430","22.010","21.250","41.28K","1.69%"
"05/18/2022","21.544","21.665","21.750","21.365","33.87K","-0.95%"
"05/17/2022","21.750","21.650","21.925","21.520","39.23K","0.92%"
"05/16/2022","21.551","21.105","21.710","20.835","46.63K","2.62%"
"05/13/2022","21.001","20.635","21.125","20.420","58.68K","1.10%"
"05/12/2022","20.773","21.555","21.625","20.590","82.00K","-3.72%"
"05/11/2022","21.575","21.210","21.970","21.200","80.77K","0.70%"
"05/10/2022","21.424","21.770","22.085","21.155","78.50K","-1.81%"
"05/09/2022","21.820","22.395","22.395","21.650","80.20K","-2.45%"
"05/06/2022","22.367","22.520","22.665","22.110","59.54K","-0.34%"
"05/05/2022","22.443","23.040","23.345","22.325","71.88K","0.18%"
"05/04/2022","22.402","22.600","23.125","22.220","58.06K","-1.16%"
"05/03/2022","22.665","22.700","22.890","22.440","43.73K","0.36%"
"05/02/2022","22.584","22.785","22.880","22.130","56.21K","-2.17%"
"04/29/2022","23.085","23.230","23.650","22.710","55.33K","-0.41%"
"04/28/2022","23.181","23.365","23.455","22.940","57.59K","-1.19%"
"04/27/2022","23.460","23.590","23.765","23.275","37.58K","-0.36%"
"04/26/2022","23.544","23.705","23.975","23.445","45.15K","-0.53%"
"04/25/2022","23.670","24.215","24.240","23.420","63.92K","-2.43%"
"04/22/2022","24.259","24.720","24.740","24.080","65.63K","-1.47%"
"04/21/2022","24.621","25.305","25.310","24.480","69.61K","-2.57%"
"04/20/2022","25.271","25.315","25.400","24.980","44.95K","-0.47%"
"04/19/2022","25.391","26.055","26.195","25.165","65.30K","-2.90%"
"04/18/2022","26.150","25.875","26.495","25.805","52.50K","1.75%"
