"Date","Price","Open","High","Low","Vol.","Change %"
"06/12/2019","811.35","815.05","819.95","808.45","","-0.47%"
"06/11/2019","815.20","807.70","815.80","800.70","","0.92%"
"06/10/2019","807.75","809.50","810.05","796.90","","-0.22%"
"06/09/2019","809.55","806.10","810.70","805.65","","0.42%"
"06/07/2019","806.15","803.40","811.70","800.10","","0.36%"
"06/06/2019","803.25","806.60","808.35","798.80","","-0.42%"
"06/05/2019","806.65","820.90","833.20","802.25","","-1.72%"
"06/04/2019","820.75","823.05","825.40","816.10","","-0.28%"
"06/03/2019","823.05","794.70","824.15","794.45","","3.56%"
"06/02/2019","794.75","793.00","794.95","792.80","","0.25%"
"05/31/2019","792.80","791.65","796.60","789.65","","0.15%"
"05/30/2019","791.65","792.20","798.30","788.40","","-0.07%"
"05/29/2019","792.20","800.60","800.65","790.80","","-1.00%"
"05/28/2019","800.20","813.00","817.70","796.30","","-1.59%"
"05/27/2019","813.10","806.50","813.10","802.35","","0.79%"
"05/26/2019","806.70","806.15","807.20","804.50","","0.15%"
"05/24/2019","805.50","801.10","809.20","799.50","","0.54%"
"05/23/2019","801.15","803.70","804.45","796.70","","-0.29%"
"05/22/2019","803.50","817.55","818.50","802.70","","-1.71%"
"05/21/2019","817.50","816.50","820.45","807.20","","0.12%"
"05/20/2019","816.50","822.35","827.40","811.50","","-0.72%"
"05/19/2019","822.45","819.60","823.20","818.10","","0.35%"
"05/17/2019","819.55","835.40","836.10","818.25","","-1.89%"
"05/16/2019","835.30","846.55","852.05","833.10","","-1.36%"
"05/15/2019","846.80","859.60","860.85","844.10","","-1.50%"
"05/14/2019","859.70","860.90","867.90","855.10","","-0.13%"
"05/13/2019","860.85","858.90","865.15","851.40","","0.23%"
"05/12/2019","858.90","867.20","867.60","858.55","","-1.02%"
"05/10/2019","867.75","854.05","869.10","852.70","","1.61%"
"05/09/2019","854.00","864.60","866.00","849.50","","-1.20%"
"05/08/2019","864.40","873.05","878.95","863.00","","-1.00%"
"05/07/2019","873.15","884.80","887.45","870.05","","-1.33%"
"05/06/2019","884.95","864.85","885.10","859.40","","2.33%"
"05/05/2019","864.80","874.75","874.75","863.90","","-1.13%"
"05/03/2019","874.70","853.70","875.70","847.25","","2.47%"
"05/02/2019","853.65","872.15","873.30","852.70","","-2.13%"
"05/01/2019","872.20","891.40","892.40","867.80","","-2.15%"
"04/30/2019","891.40","901.35","904.55","888.65","","-1.13%"
"04/29/2019","901.60","903.90","905.30","891.80","","-0.28%"
"04/28/2019","904.10","902.90","904.10","902.45","","0.14%"
"04/26/2019","902.80","890.60","904.20","887.25","","1.36%"
"04/25/2019","890.65","888.60","892.60","881.15","","0.23%"
"04/24/2019","888.60","892.95","897.75","886.65","","-0.50%"
